OAI,015_1,02X_1,1XX_1,245_1,250_1,26X_1,publication_year_1,300_1,pages_1,format_1,4X0_1,787_1,bl_language_1,015_2,02X_2,1XX_2,245_2,250_2,26X_2,publication_year_2,300_2,pages_2,format_2,4X0_2,787_2,bl_language_2,typ_duplicity
mkpel.547262 mkpel.547264,$acnb001186742,$a80-7275-920-7 :,"$aWilson, Jacqueline, $d1945- $7jn20010310318",$aPrvní nástrahy. $n3. díl ; přeložila Daniela Feltová ; ilustroval Nick Sharratt /,$a1. vyd.,"$aPraha : $bBB/art, $c2002",2002,$a162 s. : il.,162,BOOKS,,,cze,$acnb001186742,$a80-7257-920-7 :,"$aWilson, Jacqueline, $d1945- $7jn20010310318",$aPrvní nástrahy. $n3. část ; ilustroval Nick Sharratt ; přeložila Daniela Feltová /,$a1. vyd. v českém jazyce,"$aPraha : $bBB/art, $c2002",2002,$a162 s. : il. ;,162,BOOKS,,,cze,suspicious
mktrebic.498987 mktrebic.498988,,,,$aTřebíč : $b[history and sights] : [english] /,,"$a[Třebíč]: $bMěsto Třebíč, $cc2006",2006,$a87 s. :,87,BOOKS,,,eng,,,,$aTřebíč : $b[Geschichte und Denkmäler] : [deutsch] /,,"$a[Třebíč]: $bMěsto Třebíč, $cc2006",2006,$a87 s. :,87,BOOKS,,,ger,distinct
mknbk.109266 mknbk.109267,$acnb002506170,$a978-80-7478-325-8 $q(soubor) $$$a978-80-7478-326-5 $q(díl 1. ; $qbrožováno) $$$a978-80-7478-937-3 $q(díl 2. ; $qbrožováno) : $$$a978-80-7478-935-9 $q(díl 3. ; $qbrožováno),"$aDvořák, Jan, $d1950 květen 24.- $7jo20010090067",$aObčanské právo hmotné / $n2. díl,$aVydání první,"$aPraha : $bWolters Kluwer, $c2013-2016",2013,$a3 svazky ;,3,BOOKS,,,cze,$acnb002506170,$a978-80-7478-325-8 $q(soubor) $$$a978-80-7478-326-5 $q(díl 1. ; $qbrožováno) $$$a978-80-7478-937-3 $q(díl 2. ; $qbrožováno) $$$a978-80-7478-935-9 $q(díl 3. ; $qbrožováno) :,"$aDvořák, Jan, $d1950 květen 24.- $7jo20010090067",$aObčanské právo hmotné / $n3. díl,$aVydání první,"$aPraha : $bWolters Kluwer, $c2013-2016",2013,$a3 svazky ;,3,BOOKS,,,cze,hybrid
pkjak.4071b33b-2bc6-488d-9129-328692fd9dc7 pkjak.eca6de41-d42d-4207-9c3d-2ef0ff993985,,,"$aSovák, Čeněk",$aZvířátka a sedm loupežníků /,,"$aPraha : $bVyšehrad (nakladatelství), $c1945",1945,$a[62] s. ;,62,BOOKS,$aEdice Vyšehradu.,,cze,,,"$aSovák, Čeněk",$aZvířátka a sedm loupežníků /,,"$aPraha : $bVyšehrad (nakladatelství), $c1945",1945,$a[62] s. ;,62,BOOKS,$aEdice Vyšehradu.,,cze,real
npmk.31afbcbe-ca48-404d-87a7-315632a3b094 npmk.dbb4bcb3-35a1-4302-8231-56fb055f9884,,,"$aKaminski, Winfred",$aKinderzeitschriften - ein verkanntes Medium /,,,1997,,,ARTICLES,,,ger,,,"$aKaminski, Winfred",$aKinderzeitschriften - ein verkanntes Medium /,,,1997,,,ARTICLES,,,ger,real
npmk.3abce37b-4cc3-49b9-bf0d-c59dc410c4bf npmk.3e62f242-df31-495f-8577-dfa6d8eb0f6e,,,"$aVařejková, Věra",$aPutování k sobě /,,,1990,,,ARTICLES,,,cze,,,"$aVařejková, Věra",$aPutování k sobě /,,,1990,,,ARTICLES,,,cze,real
nkp.NKC01-001099234 nkp.NKC01-001372915,,,"$aHorecká, Jana $7xx0001238",$aVeľká farebná obrazová kuchárka /,$a2. vyd.,"$aMartin : $bTlačiarne SNP, š.p. vydav. odbor, $c1991",1991,$a218 s. ;,218,BOOKS,,,slo,,,"$aHorecká, Jana $7xx0001238",$aVeľká farebná obrazová kuchárka /,$a2. vyd.,"$aMartin : $bTlačiarne SNP, š.p., $c1991",1991,$a218 s. :,218,BOOKS,,,slo,real
mkhk.2140913 mkhk.2362718,$acnb001801584,$a978-80-244-1853-7 :,"$aKlapil, Pavel, $d1937- $7ola2002142130",$aNapříč totální harmonií /,$a1. vyd.,"$aOlomouc : $bUniverzita Palackého, $c2007",2007,$a88 s.,88,BOOKS,,,cze,$acnb001801584,$a978-80-244-1853-7 $q(brožováno) :,"$aKlapil, Pavel, $d1937- $7ola2002142130",$aNapříč tonální harmonií /,$a1. vydání,"$aOlomouc : $bUniverzita Palackého v Olomouci, Pedagogická fakulta, $c2007",2007,$a88 stran :,88,BOOKS,$aSkripta,,cze,real
mzk.MZK01-000086009 mzk.MZK01-000072281,,,"$aVebera, Zdeněk, $d1927-2016 $7jk01141851",$aÚstavní právo ČSSR : $bUrčeno pro posl. fak. právnické /,$a1. vyd.,"$aBrno : $bUniverzita J.E. Purkyně, $c1974",1974,"$a207, [1] s. ;",207,BOOKS,$aUčební texty vysokých škol,,cze,,,"$aVebera, Zdeněk, $d1927-2016 $7jk01141851",$aÚstavní právo ČSSR /,$a1. vyd.,"$aBrno : $bUniverzita J.E. Purkyně, $c1974",1974,$a207 s.,207,BOOKS,,,cze,probable
ntk.STK01-000377967 ntk.STK01-000432081,,$a(nev.),"$aLaipert, Miloš",$aSbírka příkladů ze syntézy lineárních obvodů : $bUčební texty vysokých škol /,,"$aPraha : $bČeské vysoké učení technické, $c1969",1969,"$a362 s., lit.",362,BOOKS,,,,,,"$aLaipert, Miloš",$aSbírka příkladů ze syntézy lineárních obvodů /,,"$aPraha : $bČeské vysoké učení technické, $c1969",1969,$a362 s.,362,BOOKS,,,cze,probable
svkhk.HKA01-000148902 svkhk.HKA01-000148905,,,"$aKarešová, Marie $7jx20050629026",$aMetodický průvodce k učebnici Český jazyk pro 6. ročník zvláštní školy /,$a2. vyd.,"$aPraha : $bStátní pedagogické nakladatelství, $c1976",1976,$a28 s.,28,BOOKS,,,cze,,,"$aKarešová, Marie $7jx20050629026",$aMetodický průvodce k učebnici Český jazyk pro 6. ročník zvláštní školy /,$a2. vyd.,"$aPraha : $bStátní pedagogické nakladatelství, $c1976",1976,$a28 s.,28,BOOKS,$aPomocné knihy pro učitele,,cze,real
svkpk.PNA01-000381464 svkpk.PNA01-000641881,$acnb000546001,,"$aSedláček, Josef Vojtěch, $d1785-1836 $7jk01110509",$aIncognito : $b(pokradmo) : peprné verše na všecky stavy : od roku 1825 /,,"$aPlzeň : $bJ. Folprecht, Josef Hodek a Karel Škába, $c1930",1930,$a9 - [I] s. :,9,BOOKS,,,cze,$acnb000546001,,"$aSedláček, Josef Vojtěch, $d1785-1836 $7jk01110509",$aInkognito : $b(Pokradmo) : peprné verše na všecky stavy /,,"$a[V Plzni : $bSpolek bibbliofilů, $c1930]",1930,$a9 s.,9,BOOKS,,,cze,real
svkpk.PNA01-000338103 svkpk.PNA01-000346516,$acnb000972241,,"$aNěmcová, Božena, $d1820-1862 $7jk01083016",$aBabička /,,"$aPraha : $bI.L. Kober, $c1870",1870,$a275 s. ;,275,BOOKS,$aNárodní bibliotéka ; $vdíl 4 $$$aSebrané spisy Boženy Němcové $vsv. 2,,cze,$acnb000972241,,"$aNěmcová, Božena, $d1820-1862 $7jk01083016","$aBoženy Němcové Sebrané spisy. $nsv. 2, $pBabička",,"$aV Praze : $bI.L. Kober, $c1870",1870,$a275 s. ;,275,BOOKS,$aNárodní bibliotéka ; $vdíl 4. $$$aSpisy Boženy Němcové $vsv. 2,,cze,real
czhistbib.1a48b62b-92b1-45f0-b0ca-6e7b3e1047d4 czhistbib.68cb8210-bbed-46a1-963e-1819a9390f30,,$a3-88474-056-3 $q(váz.),,"$aUngleiche Nachbarn : $bDemokratische und nationale Emanzipation bei Deutschen, Tschechen und Slowaken (1815-1914) : Für die deutsch-tschechisch-slowakische Historikerkommission /",$a1. Auflage,"$aEssen : $bKlartext, $c1993",1993,$a136 s.,136,BOOKS,$aVeröffentlichungen des Instituts für Kultur und Geschichte der Deutschen im östlichen Europa ; $vBd. 1,,ger,,$a3-88474-056-3 $q(váz.),,"$aUngleiche Nachbarn : $bDemokratische und nationale Emanzipation bei Deutschen, Tschechen und Slowaken (1815-1914) : Für die deutsch-tschechisch-slowakische Historikerkommission /",$a1. Auflage,"$aEssen : $bKlartext, $c1993",1993,$a136 s.,136,BOOKS,$aVeröffentlichungen des Instituts für Kultur und Geschichte der Deutschen im östlichen Europa ; $vBd. 1,,ger,real
knav.KNA01-000016658 knav.KNA01-000861422,$acnb000437617,,"$aFučík, Svatopluk",$aÚvod do variačního počtu /,$a1. vyd.,"$aPraha : $bStátní pedagogické nakladatelství, $c[1972].",1972,$a178 s.,178,BOOKS,,,cze,$acnb000437617,,"$aFučík, Svatopluk, $d1944-1979 $7jk01032117",$aÚvod do variačního počtu /,$a1. vyd.,"$aPraha : $bStátní pedagogické nakladatelství, $c1972.",1972,$a178 s.,178,BOOKS,,,cze,real
knav.KNA01-001006556 knav.KNA01-001006220,$acnb000599595,,"$aMaeterlinck, Maurice",$aMoudrost a osud /,,"$aPraha : $bt. J. Skalák, $c1919.",1919,$a158 s.,158,BOOKS,,,cze,$acnb000599595,,"$aMaeterlinck, Maurice",$aSpisy : $bmoudrost a osud /,,"$aPraha : $b[s.n.], $c1919.",1919,"$a158, ii s.",158,BOOKS,,,cze,real
mzk.MZK01-000711756 mzk.MZK01-000753895,$acnb000395005,,,$aIn memoriam Václava Königa : $b5. IX. 1944 : s dokumentárními přílohami,,"$aV Praze : $bAventinum, $c1946",1946,"$a56, 1 s., 7 příl.",56,BOOKS,,,cze,,,,$aIn memoriam Václava Königa : $b5.IX.1944,,"$aV Praze : $bAventinum, nakladatelství Dr. Ot. Štorcha-Mariena, $c1946",1946,$a56-[II] s. :,56,BOOKS,,,cze,probable
kkvy.1826441 kkvy.1853988,$acnb000754239,,"$aBass, Eduard, $d1888-1946 $7jk01011066",$aZe života našich železnic /,,"$aPraha : $bŠkol. nakl., $c1941",1941,"$a39 s., fot.",39,BOOKS,,,cze,$acnb000754239,,"$aBass, Eduard, $d1888-1946 $7jk01011066",$aZe začátku našich železnic /,,"$aPraha : $bŠkol. nakl., $c1941",1941,"$a39 s., fot.",39,BOOKS,,,cze,real
cbvk.CbvkUsCat*m0290278 cbvk.CbvkUsCat*m0290279,$acnb002633001 $zcnb000417680 $zcnb000399774 $zcnb000416814 $zcnb000399775 $zcnb000397033 $zcnb000146108,,"$aPetrová, Markéta $7jx20080901011",$aTechnické zařízení budov II. : $bústřední vytápění : cvičení,,"$aPraha : $bVydavatelství ČVUT, $c1978",1978,$a1 sv.,1,BOOKS,,,cze,,,"$aPetrová, Markéta $7jx20080901011",$aTechnické zařízení budov II. : $bústřední vytápění : cvičení : přílohy,,"$aPraha : $bVydavatelství ČVUT, $c1978",1978,$a1 sv.,1,BOOKS,,,cze,set
mzk.MZK01-000032068 mzk.MZK01-000250185,,$a80-01-01357-X,"$aMaier, Maria",$aDeutsch für das Bauingenieurwesen /,$aVyd. 1.,"$aPraha : $bČeské vysoké učení technické, $c1995",1995,$a148 s. ;,148,BOOKS,,,cze,$acnb000107057,$a80-01-01357-X,"$aMaier, Maria",$aDeutsch für das Bauingenieurwesen /,$aDot. 1. vyd.,"$aPraha : $bČeské vysoké učení technické, $c1997",1997,$a148 s. :,148,BOOKS,,,cze,real
mzk.MZK01-000039189 mzk.MZK01-000160514,,$a80-05-01049-4,"$aBlahovec, Antonín $7jk01012234","$aElektrotechnika v príkladoch a úlohách : $briešenie príkladov na počítači : učebnica pre 1. a 2. roč. štud. odboru 26 elektrotechnika a 37-44-6 spojová technika, 37-41-6 zabezpečovacia a oznamovacia technika vAntonín Blahovec",$a1. vyd.,"$aBratislava : $bAlfa, $c1992",1992,$a114 s.,114,BOOKS,$aEdícia elektrotechnickej literatúry,,slo,,,"$aBlahovec, Antonín $7jk01012234",$aElektrotechnika v príkladoch a úlohách : $briešenie príkladov na počítači /,$a1. vyd.,"$aBratislava : $bAlfa, $c1992",1992,$a114 s.,114,BOOKS,,,slo,probable
mkhavirov.39410 mkhavirov.46762,,$a8085927748 :,"$aPravda, Miroslav, $d1928- $7jk01100933",$aFrancouzština pro samouky /,$a2. vyd.,"$aVoznice : $bLeda, $c2006",2006,$a94 s. :,94,BOOKS,,,cze,,$a8085927748 :,"$aPravda, Miroslav, $d1928- $7jk01100933",$aFrancouzština pro samouky : $bklíč a slovník /,$a2. vyd.,"$aVoznice : $bLeda, $c2006",2006,$a94 s. ;,94,BOOKS,,,cze,set
mzk.MZK01-000929854 mzk.MZK01-000929856,$acnb001855943,$a978-80-86839-18-9 $q(váz.) :,"$aMiller, Frank, $d1957- $7xx0013415","$aSin City : $bměsto hříchu. $n2, $pŽenská, pro kterou bych vraždil /","$a2., upr. české vyd.","$aPraha : $bMartin Trojan - 3-JAN, $cc2008",2008,$a211 s. :,211,BOOKS,,,cze,$acnb001855943,$a978-80-86839-19-6 $q(brož.) :,"$aMiller, Frank, $d1957- $7xx0013415","$aSin City : $bměsto hříchu. $n2, $pŽenská, pro kterou bych vraždil /","$a2., upr. české vyd.","$aPraha : $bMartin Trojan - 3-JAN, $cc2008",2008,$a211 s. :,211,BOOKS,,,cze,suspicious
vkol.SVK01-000068642 vkol.SVK01-000068643,$acnb000148093,$a80-901871-8-8 $q(brož) :,"$aGerhardinger, Dieter",$aNauka o potravinách : $bpracovní sešit pro žáka : učební text pro střední odborná učiliště /,,"$aPraha : $bWahlberg, $c1996",1996,$a85 s,85,BOOKS,,,cze,$acnb000148091,$a80-901871-8-8 $q(brož) :,"$aGerhardinger, Dieter",$aNauka o potravinách : $bpracovní sešit pro učitele : učební text pro střední odborná učiliště /,,"$aPraha : $bWahlberg, $c1996",1996,$a85 s,85,BOOKS,,,cze,suspicious
czhistbib.21d3c70d-536d-4a2c-b96b-d7d891ce0c28 czhistbib.c2aaeccc-b3dc-45c6-a426-f195a792b24d,,$a83-923110-1-9,"$aDuczmal, Małgorzata","$aRyksa Piastówna, Królowa Czech i Polski /",,"$aPoznań : $bManuskrypt, $c2010",2010,"$a444 s., il.",444,BOOKS,,,pol,,$a83-923110-1-9,"$aDuczmal, Małgorzata","$aRyksa Piastówna, Królowa Czech i Polski /",,"$aPoznań : $bManuskrypt, $c2010",2010,"$a444 s., il.",444,BOOKS,,,pol,real
svkhk.HKA01-000148276 svkhk.HKA01-000148277,,,,$aKlasifikační řád pro školy poskytující střední a vyšší vzdělání včetně zařízení pro výchovu učňů,$a1. vyd.,"$aPraha : $bStátní pedagogické nakladatelství, $c1974",1974,$a16 s.,16,BOOKS,,,cze,,,,$aKlasifikační řád pro školy poskytující střední a vyšší vzdělání včetně zařízení pro výchovu učňů,$a2. vyd.,"$aPraha : $bStátní pedagogické nakladatelství, $c1974",1974,$a16 s.,16,BOOKS,,,cze,distinct
svkul.3546917 svkul.3551245,$acnb000401462,,"$aDoskočil, František $7jk01022753",$aČeský jazyk I pro přípravu zahraničních studentů ke studiu na středních odborných školách /,$a2. vyd.,"$aPraha : $bStátní pedagogické nakladatelství, $c1982",1982,$a178 s.,178,BOOKS,$aÚčelové náklady,,cze,$acnb000401462,$a(Brož.),"$aDoskočil, František $7jk01022753",$aČeský jazyk II pro přípravu zahraničních studentů ke studiu na středních odborných školách /,$a2. vyd.,"$aPraha : $bStátní pedagogické nakladatelství, $c1982",1982,$a178 s.,178,BOOKS,,,cze,hybrid
ntk.STK01-000192487 ntk.STK01-000306894,,,"$aHanzlíček, Jaroslav $7jk01033538",$aTechnické kreslení : $bpro I. ročník odborných učilišť a učňovských škol. Učební obory: Klempíř - 0435. Stavebni klempíř - 0436. Karosář - 0437. Drakař - 0438 /,$a1. vyd.,"$aPraha : $bStátní pedagogické nakladatelství, $c1959",1959,$a104 s. :,104,BOOKS,,,cze,,$a(nev.),"$aHanzlíček, Jaroslav $7jk01033538",$aTechnické kreslení pro I. ročník odborných učilišť a učnovských škol /,,"$aPraha : $bStátní pedagogické nakladatelství, $c1959",1959,$a104 s.,104,BOOKS,,,,probable
mzk.MZK01-000147973 mzk.MZK01-000921805,$acnb000709456,,"$aZahradníček, Josef, $d1881-1968 $7jk01151942",$aZákladní pokusy fysikální : $bMetodika a technika fysikálních pokusů pro školy střední a měšťanské /,,"$aV Brně : $bnákladem vlastním, $c1935",1935,"$a[iv], 175 s. ;",175,BOOKS,,,cze,$acnb000709456,,"$aZahradníček, Josef, $d1881-1968 $7jk01151942",$aZákladní pokusy fysikální : $bMetodika a technika fysikálních pokusů pro školy střední a měšťanské /,,"$aV Brně : $bJosef Zahradníček, $c1935",1935,$a175 s.,175,BOOKS,,,cze,real
ntk.STK01-000351969 ntk.STK01-000456246,,$a(nev.),"$aJandouš, Václav $7jx20040610002","$aStroje pro železniční stavitelství. $n1., $pObrazová část /",$a2. přeprac. vyd,"$aPraha : $bStátní nakladatelství technické literatury, $c1960",1960,$a200 s.,200,BOOKS,,,,,$a(nev.),"$aJandouš, Václav $7jx20040610002","$aStroje pro železniční stavitelství. $n1., $pobrazová část /",$a2. přeprac.vyd.,"$aPraha : $bStátní nakladatelství technické literatury, $c1960",1960,$a199 s.,199,BOOKS,,,,real
pkjak.02833d0d-d69f-447b-9ba1-5fc435e2ec8d pkjak.0a944f22-ed82-442b-94f9-bfd5209e8014,,,,"$aDeset let péče o dětskou četbu : $bZpráva o sjezdu přátel literatury pro mládež, jejž pořádal MLÚ 19. a 20. dubna 1930 péčí sekce liter. odboru ""Přátelé literatury pro mládež"" /",,"$aV Praze : $bMasarykův lidovýchovný ústav : $bSvaz osvětový, $c1930",1930,$a52 - [III] s. ;,52,BOOKS,,,cze,,,,"$aDeset let péče o dětskou četbu : $bZpráva o sjezdu přátel literatury pro mládež, jejž pořádal MLÚ 19. a 20. dubna 1930 péčí sekce liter. odboru ""Přátelé literatury pro mládež"" /",,"$aV Praze : $bMasarykův lidovýchovný ústav : $bSvaz osvětový, $c1930",1930,$a52 - [III] s. ;,52,BOOKS,,,cze,probable
svkpk.PNA01-000760715 svkpk.PNA01-000773704,$acnb002941319,$a978-80-906278-3-3 $q(vázáno),"$aBukovský, Stanislav, $d1944- $7pna2007403833",$aPlzeň a Bolevec za Velké války : $bvydáno ke 100. výročí výbuchu bolevecké muničky /,,"$aPlzeň : $bMěstský obvod Plzeň 1, $c2017",2017,$a99 stran :,99,BOOKS,,,cze,$acnb002941319,$a978-80-906278-6-4 $q(vázáno),"$aBukovský, Stanislav, $d1944- $7pna2007403833",$aPlzeň a Bolevec za Velké války : $bvydáno ke 100. výročí výbuchu bolevecké muničky /,,"$aPlzeň : $bTCF print s.r.o. ve spolupráci s Městským obvodem Plzeň 1, $c2017",2017,$a99 stran :,99,BOOKS,,,cze,suspicious
kram-mzk.uuid:1db6737e-2349-4601-97bb-a4723ac7d9e7 kram-mzk.uuid:b431a8ed-20c2-4488-98f6-f49e14b3428b,,,,$aKancyonál $bTo gest Kniha Žalmů a Pjsnj duchownjch k chwále Božj a spasytedlnému Wěřjcych wzdělánj y dáwno prwé y w nowé teď gazykem Českým složených a nynj spolu wydaných,,$aW Amsterodámě $bV Krystofa Kunráda $c1659,1659,"$a[28], 750 [=752], [1] s., [2] příl. ; 12°",752,BOOKS,,"$tKancionál $aKomenský, Jan Amos, 1592-1670",cze,$acnb001652812,$a80-85037-42-4,,$aKancyonál $bTo gest Kniha Žalmů a Pjsnj duchownjch k chwále Božj a spasytedlnému Wěřjcych wzdělánj y dáwno prwé y w nowé teď gazykem Českým složených a nynj spolu wydaných,,$aW Amsterodámě $bV Krystofa Kunráda $c1659,1659,"$a[28], 750 [=752], [1] s., [2] příl. ; 12°",752,BOOKS,,"$tKancionál $aKomenský, Jan Amos, 1592-1670",cze,probable
svkhk.HKA01-000359710 svkhk.HKA01-000405494,,,"$aKantor, Štefan, $d1898-1991 $7mzk2002140415",$aMetodický sprievodca k Spevníku pre 4. ročník základných deväťročných škôl /,$a1. vyd.,"$aBratislava : $bSlovenské pedagogické naklakladateľstvo, $c1964",1964,$a66 s. :,66,BOOKS,,$tSpevník pre 4. ročník základných deväťročných škôl,slo,,,"$aKantor, Štefan, $d1898-1991 $7mzk2002140415",$aMetodický sprievodca k spevníku pre 4. ročník základných deväťročných škôl /,$a1. vyd.,"$aBratislava : $bSlovenské pedagogické nakladateľstvo, $c1964",1964,$a66 s. :,66,BOOKS,,$tSpevník pre 5. ročník základných deväťročných škôl,slo,real
pkjak.18447dc6-85ab-409d-820b-86fbddd44ed2 pkjak.fcaf25fb-1f9c-4de9-a969-8a7369963baf,,,"$aNejedlý, Roman, $d1844-1920 $7jk01082962",$aNárodní písně pro útlou školní mládež /,,"$aV Praze : $bRohlíček a Sievers, $c1883",1883,"$a1, 45, 2 s.",45,BOOKS,,,cze,,,"$aNejedlý, Roman, $d1844-1920 $7jk01082962",$aNárodní písně pro útlou školní mládež /,,"$aV Praze : $bRohlíček a Sievers, $c1883",1883,"$a1, 45, 2 s.",45,BOOKS,,,cze,probable
nkp.NKC01-000918707 nkp.NKC01-001107066,,,"$aKolář, Jan $7jk01061234","$aNáuka o tovare pre 1. ročník učňovských škôl : $bUčebné odbory: predavač textilného tovaru-1504, predavač obuvi a koženej galantérie-1505 /",$a1. vyd.,"$aBratislava : $bSlov. ped. nakl., $c1960",1960,$a358 s. :,358,BOOKS,,,slo,,,"$aKolář, Jan $7jk01061234","$aNáuka o tovare pre 1. ročník učňovských škôl : $bUčebné odbory: predavač textilného tovaru - 1504, predavač obuvi a koženej galantérie - 1505 /",$a1. vyd.,"$aBratislava : $bSlov. pedagog. nakl., $c1960",1960,$a358 s. ;,358,BOOKS,,,slo,real
pkjak.36df1811-df4f-4241-91fe-0dc743a9ee25 pkjak.e797ab70-9f19-4e40-97b9-1ad542bb6a72,,$a(brož.),,"$aPříběh v měnícím se světě dítěte. $bSborník 18. kongresu IBBY (6.9. - 10.9.1982, Cambrid, Velká Británie)",$a1. vyd,"$aPraha: $bSpolečnost přátel knihy pro mládež, $c1983",1983,$a107 s.,107,BOOKS,,,cze,,,,$aPříběh v měnícím se světě dítěte : $b18. kongres IBBY,,$aPraha: $bSpolečnost přátel knihy pro mládež čs. sekce IBBY [International Board on Books for Young People] $c/1983/,1983,$a107 s.,107,BOOKS,,,cze,probable
nkp.NKC01-001439966 nkp.NKC01-001439967,,,,$aRapport statistique sur l'enseignement spécial,,"$aParis : $bUnesco, $c1961",1961,$a156 s. ;,156,BOOKS,$aStatistical Reports and Studies,,fre,,,,$aRapport statistique sur l'enseignement spécial,,"$aParis : $bUnesco, $c1961",1961,$a156 s.,156,BOOKS,$aRapport et études statistiques ; $v5,,fre,real
czhistbib.8413934c-3ce7-4e60-b53f-d24eb99a67d2 czhistbib.d2808010-aee1-4582-9b38-ab483dd4c657,,,"$aBahlcke, Joachim, $d1963- $7jn20000600607",$aSchlesien und die Schlesier /,,"$aMünchen : $bLangen Müller, $c1996",1996,$a358 s.,358,BOOKS,$aStudienbuchreihe der Stiftung Ostdeutscher Kulturrat. Bd. 7.,,ger,,,"$aBahlcke, Joachim, $d1963- $7jn20000600607",$aSchlesien und die Schlesier /,,"$aMünchen : $bLangen Müller, $c1996",1996,$a358 s.,358,BOOKS,$aStudienbuchreihe der Stiftung Ostdeutscher Kulturrat. Bd. 7.,,cze,real
nkp.NKC01-000325867 nkp.NKC01-001084211,,,"$aJanderla, Aladár $7jx20050511021","$aTechnológia pre 3. ročník odborných učilíšť a učňovských škôl, učebný odbor čašník - 1552 /",$a3. vyd.,"$aBratislava : $bSlov. pedagog. nakl., $c1965",1965,$a155 s. :,155,BOOKS,,,slo,,,"$aJanderla, Aladár $7jx20050511021",$aTechnológia pre 3. ročník odborných učilíšť a učňovských škôl učebný odbor čašník - 1552 /,$a3. vyd.,"$aBratislava : $bSlov. pedagog. nakl., $c1965",1965,$a155 s. ;,155,BOOKS,,,slo,real
pkjak.64a7bbe6-c22b-4f37-9bea-1a33f4453370 pkjak.f670fe6e-6c96-43ae-858d-170e45cc3621,,,"$aWallin, J. E. Wallace",$aThe mental health of the school child : $bteh psycho-educational clinic in relation to child welfare /,,"$aNew Haven : $bYale University Press, $c1914",1914,"$a13, 463 s.",463,BOOKS,,,eng,,$a(Váz.),"$aWallin, Wallace J. E.",$aThe mental health of the school child : $bthe psycho-educational clinic in relation to child welfare /,,"$aNew Haven : $bYale University Press, $c1914",1914,"$a13, 463 s.",463,BOOKS,,,eng,probable
nkp.NKC01-000394658 nkp.NKC01-000669372,$acnb000394658,,,"$aUčebný text z kupeckých počtů. $nII. [díl], $p(Pro druhý ročník veřejných obchodních škol) /",,"$aPraha : $bStátní nakladatelství : $bStudijní ústav obchodního školství [distributor], $c1946",1946,$a102 s. ;,102,BOOKS,,,cze,$acnb000669372,,,"$aUčebný text z kupeckých počtů. $nII. [díl], $p(Pro druhý ročník veřejných obchodních škol) /",$aDotisk prvního vydání z r. 1946,"$aPraha : $bStátní nakladatelství, exp.: Studijní ústav obchodního školství, $c1947",1947,$a102 s. ;,102,BOOKS,,,cze,suspicious
svkhk.HKA01-000165583 svkhk.HKA01-000159979,,$a08629617,,$aZa školou : $bměsíčník pracovníků s dětmi a mládeží. $pPřílohy,,$aPraha : $bInstitut dětí a mládeže MŠMT ČR,,,,PERIODICALS,,,cze,,$a08629617,,$aZa školou : $bměsíčník pracovníků s dětmi a mládeží,,$aPraha : $bInstitut dětí a mládeže MŠMT ČR,,,,PERIODICALS,,,cze,set
czhistbib.2a67a003-5170-4eff-9beb-3c4e43574b9e czhistbib.590b4c46-8d62-4401-b7de-c96a8f4bb2db,,$a18031358,,$aMuseum vivum : $bčasopis českých muzeí v přírodě,,"$aRožnov pod Radhoštěm : $bValašské muzeum v přírodě v Rožnově pod Radhoštěm, $c2017",2017,$a157 stran,157,PERIODICALS,,,cze,,$a18031358,,$aMuseum vivum : $bčasopis českých muzeí v přírodě,,"$aRožnov pod Radhoštěm : $bValašské muzeum v přírodě v Rožnově pod Radhoštěm, $c2016",2016,$a171 stran,171,PERIODICALS,,,cze,real
czhistbib.2017e871-7729-4c98-b9d7-ddbb3314de3a czhistbib.69f439d0-2874-4312-a33e-5e1b522a9533,,,"$aČornej, Petr, $d1951- $7jk01021912 $eAutor",$aPoznámky k vydávání starších česky psaných listů : $b(14.-16. století) /,,$c1989,1989,,,ARTICLES,,,cze,,,"$aČornej, Petr, $d1951- $7jk01021912 $eAutor",$aPoznámky k vydávání starších česky psaných listů : $b(14. - 16. století) /,,$c1989,1989,,,ARTICLES,,,cze,real
svkos.MVK01-000688765 svkos.MVK01-000696829,,,"$aUhlíř, Aleš",$aAgrární hromady a valy v Miloticích nad Opavou (Nízký Jeseník) /,,,2015,,,ARTICLES,,,cze,,,"$aUhlíř, Aleš, $d1951- $7ola200208505",$aAgrární hromady a valy v Miloticích nad Opavou (Nízký Jeseník) /,,,2015,,,ARTICLES,,,cze,real
svkos.MVK01-000592312 svkos.MVK01-000592313,,,"$aPrzybylová, Blažena, $d1952-2017 $7ola2003201060",$aDevadesát let v roli správce písemné paměti města Ostravy /,,,2013,,,ARTICLES,,,cze,,,"$aPrzybylová, Blažena, $d1952-2017 $7ola2003201060",$aDevadesát let v roli správce písemné paměti města Ostravy /,,,2013,,,ARTICLES,,,cze,real
czhistbib.15ccaf63-dace-46e8-8b23-948af0413399 czhistbib.8f343f41-40ec-4925-a7b4-786b9d0882ee,,,"$aGoněc, Vladimír, $d1950- $7jn20000400792",$aEdvard Beneš v paralelách dobového právního a politického myšlení /,,$c1998,1998,,,ARTICLES,,,cze,,,"$aGoněc, Vladimír, $d1950- $7jn20000400792 $eAutor",$aEdvard Beneš v paralelách dobového právního a politického myšlení /,,$c1998,1998,,,ARTICLES,,,cze,real
